Model,Dataset,Accuracy,Precision,Recall,F1,ROC-AUC
Linear SVM,Human-ID,0.9940334128878282,0.9962560838637214,0.990692479523455,0.9934664924397983,0.99958602022132
Logistic Regression,Human-ID,0.9848278213433345,0.9924156238149412,0.9743112434847356,0.9832801052038325,0.9985329240365838
Multinomial NB,Human-ID,0.9529491987725878,0.947290274684484,0.9501116902457185,0.9486988847583643,0.9885906189559654
