Model,F1_Human-ID,F1_OOD,Generalization_Gap
Linear SVM,0.9934664924397983,0.663833805476865,0.32963268696293335
Logistic Regression,0.9832801052038325,0.6553010122535962,0.3279790929502363
Multinomial NB,0.9486988847583643,0.6223091976516634,0.3263896871067009
