Model,Dataset,Accuracy,Precision,Recall,F1,ROC-AUC
BiLSTM,Human-ID,0.9989771564950563,0.9977711738484398,1.0,0.9988843436221644,0.9999258910633754
BiLSTM,MegaFake-OOD,0.5073333333333333,0.5037137069547603,0.9946666666666667,0.6687584043030032,0.6346844444444445
