train_loss,val_loss,val_f1
0.1696029883046704,0.007220191355293576,0.9981398809523809
0.01260871987174609,0.007079865380744551,0.9983243343883821
0.009245351571633227,0.005692683606036514,0.9985113509490138
0.008019751028003955,0.005332531766211817,0.9981398809523809
0.008565323569914697,0.00479321562591434,0.998509131569139
0.0047625507411063394,0.0046137952350838295,0.9988839285714286
0.00477758703785346,0.004152934094077943,0.9992553983618764
0.0030639537981484955,0.004411156716741971,0.9994416527079844
0.005282050714353845,0.004012230863953964,0.9994416527079844
0.003555254729490456,0.004122455809613751,0.9990690746602122
0.001988829374139828,0.0036698203397087996,0.9990690746602122
0.0011841906346316663,0.0033149982843877733,0.9994414447961274
0.002689634330603244,0.0032837915393933463,0.9996276991809382
0.00028293193977211244,0.0048726931246802375,0.9992553983618764
0.0007902281966298332,0.004672212074605026,0.9988826815642458
